SSATier1,SSATier2,Provision,LevelOfLearning,AppType,Sex,AgeGroup,Ethnicity,IndustrySection,NumberSustainedEmployment,SustainedEmploymentPercent
"Construction, Planning and the Built Environment",Building and Construction,All,All,All,All,All,All,Other Service Activities,270.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,All,All,All,All,All,Construction,630.0,0.0
All,All,Apprenticeship,Advanced Apprenticeship,All,All,All,All,Administrative And Support Service Activities,2380.0,0.0
All,All,Education & Training,Level 4,All,All,All,All,Public Administration And Defence - Compulsory Social Security,70.0,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,Standard apprenticeship,Female,All,All,All,3090.0,0.0
"Health, Public Services and Care",Not Applicable / Not Known,Education & Training,Full level 3,All,All,All,All,All,500.0,0.0
Digital Technology,Digital technology (users),Education & Training,All,Not applicable,Female,All,All,Education,840.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,All,All,All,Male,All,All,"Professional, Scientific And Technical Activities",1130.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,All,All,All,25 - 49,All,Education,30.0,0.0
Digital Technology,Digital technology (practitioners),All,All,All,All,All,White,Public Administration And Defence - Compulsory Social Security,860.0,0.0
All,All,All,Higher (Level 7+) Apprenticeship,Standard apprenticeship,All,All,All,Manufacturing,220.0,0.0
Social Sciences,All,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,All,750.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",Education & Training,Level 3 Other,Not applicable,All,All,All,All,240.0,0.0
"Business, Administration and Law",Accounting and Finance,All,All,Not applicable,Female,All,All,Education,400.0,0.0
Science and Mathematics,Science,Education & Training,All,Not applicable,All,All,White,Construction,120.0,0.0
Digital Technology,Digital technology (practitioners),Education & Training,Level 3 Other,Not applicable,All,All,All,Administrative And Support Service Activities,330.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,All,All,Framework apprenticeship,All,All,All,Manufacturing,1050.0,0.0
"Business, Administration and Law",All,Apprenticeship,Higher (Level 6) Apprenticeship,Standard apprenticeship,All,All,All,Human Health And Social Work Activities,160.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",Education & Training,All,All,All,25 - 49,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,20.0,0.0
"Business, Administration and Law",Business Management,All,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Construction,100.0,0.0
"Business, Administration and Law",Administration,Apprenticeship,Intermediate Apprenticeship,Standard apprenticeship,All,All,All,Other Service Activities,50.0,0.0
"Business, Administration and Law",Business Management,Education & Training,All,Not applicable,All,50 and over,All,Unknown,220.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",All,All,All,All,All,Asian / Asian British,Transportation And Storage,80.0,0.0
"Business, Administration and Law",Business Management,All,Advanced Apprenticeship,All,All,All,All,Real Estate Activities,80.0,0.0
"Agriculture, Horticulture and Animal Care",All,Education & Training,Full level 2,Not applicable,All,All,All,Other Service Activities,80.0,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",Education & Training,All,All,Male,All,All,"Arts, Entertainment And Recreation",30.0,0.0
Retail and Commercial Enterprise,All,All,Full level 2,All,All,All,All,"Arts, Entertainment And Recreation",340.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,Education & Training,All,All,All,19 - 24,All,"Professional, Scientific And Technical Activities",280.0,0.0
All,All,Education & Training,Level 5,Not applicable,All,All,All,Manufacturing,10.0,0.0
Science and Mathematics,All,All,All,Not applicable,All,25 - 49,All,"Professional, Scientific And Technical Activities",190.0,0.0
Engineering and Manufacturing Technologies,All,All,Level 3 Other,All,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",60.0,0.0
All,All,All,All,Not applicable,All,All,White,Activities Of Extraterritorial Organisations And Bodies,10.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Education & Training,Level 4,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,80.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,All,50.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,All,Not applicable,All,All,All,Administrative And Support Service Activities,160.0,0.0
Preparation for Life and Work,All,Education & Training,Level 1 ESOL,Not applicable,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,60.0,0.0
"Health, Public Services and Care",All,Apprenticeship,All,Standard apprenticeship,Female,All,All,Unknown,90.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Education & Training,All,All,All,19 - 24,All,Information And Communication,20.0,0.0
"Business, Administration and Law",Business Management,All,All,Framework apprenticeship,All,All,Black / African / Caribbean / Black British,All,c,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,All,All,25 - 49,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,170.0,0.0
"Business, Administration and Law",Administration,All,All,Standard apprenticeship,All,18 and under,All,Accommodation And Food Service Activities,40.0,0.0
Social Sciences,All,Education & Training,All,All,All,All,Asian / Asian British,"Professional, Scientific And Technical Activities",40.0,0.0
"Arts, Media and Publishing",All,All,All,Standard apprenticeship,All,All,White,Accommodation And Food Service Activities,20.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Education & Training,Full level 3,All,All,All,All,Construction,200.0,0.0
"Business, Administration and Law",Law and Legal Services,Education & Training,Full level 3,All,All,All,All,Construction,40.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,All,Intermediate Apprenticeship,Standard apprenticeship,All,All,All,Human Health And Social Work Activities,20.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Apprenticeship,All,All,Male,All,All,Public Administration And Defence - Compulsory Social Security,90.0,0.0
Retail and Commercial Enterprise,All,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Financial And Insurance Activities,50.0,0.0
"Health, Public Services and Care",Public Services,All,Advanced Apprenticeship,All,All,All,All,Education,100.0,0.0
"Agriculture, Horticulture and Animal Care",All,Apprenticeship,All,Framework apprenticeship,All,All,All,"Agriculture, Forestry And Fishing",10.0,0.0
Education and Training,All,All,All,Framework apprenticeship,All,All,White,All,20.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Education & Training,All,Not applicable,All,All,Other ethnic group,"Arts, Entertainment And Recreation",10.0,0.0
Science and Mathematics,Mathematics and Statistics,Education & Training,All,All,All,All,Other ethnic group,Transportation And Storage,30.0,0.0
Engineering and Manufacturing Technologies,Engineering,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Public Administration And Defence - Compulsory Social Security,20.0,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,All,All,All,All,Other ethnic group,Administrative And Support Service Activities,10.0,0.0
Digital Technology,Digital technology (practitioners),All,Higher (Level 4) Apprenticeship,All,All,All,All,Transportation And Storage,50.0,0.0
Digital Technology,Digital technology (users),Apprenticeship,All,All,All,25 - 49,All,Information And Communication,50.0,0.0
Retail and Commercial Enterprise,Not Applicable / Not Known,Education & Training,All,All,Female,All,All,All,50.0,0.0
"Business, Administration and Law",Marketing and Sales,Apprenticeship,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Education,10.0,0.0
Retail and Commercial Enterprise,All,Education & Training,Level 1 / Other Entry Level,All,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Business, Administration and Law",Not Applicable / Not Known,Education & Training,All,Not applicable,Male,All,All,Administrative And Support Service Activities,10.0,0.0
Social Sciences,All,All,Level 2 Other,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,10.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,All,Not applicable,All,50 and over,All,Construction,c,0.0
"Arts, Media and Publishing",All,All,All,Not applicable,All,19 - 24,All,Transportation And Storage,50.0,0.0
"Agriculture, Horticulture and Animal Care",Environmental Conservation,Education & Training,Level 2 Other,Not applicable,All,All,All,Accommodation And Food Service Activities,40.0,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,Not applicable,All,All,Other ethnic group,Unknown,60.0,0.0
"Agriculture, Horticulture and Animal Care",Environmental Conservation,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Real Estate Activities,c,0.0
Retail and Commercial Enterprise,Hospitality and Catering,All,All,Standard apprenticeship,All,25 - 49,All,Education,60.0,0.0
"Languages, Literature and Culture",All,All,All,Not applicable,All,19 - 24,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,All,All,Not applicable,All,All,White,Other Service Activities,30.0,0.0
Digital Technology,All,All,All,Framework apprenticeship,All,All,Asian / Asian British,Public Administration And Defence - Compulsory Social Security,20.0,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,Framework apprenticeship,All,50 and over,All,Education,c,0.0
"Business, Administration and Law",All,Education & Training,Level 2 Other,Not applicable,All,All,All,Mining And Quarrying,20.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",Education & Training,All,Not applicable,All,All,Black / African / Caribbean / Black British,Financial And Insurance Activities,c,0.0
"Business, Administration and Law",All,All,Full level 2,All,All,All,All,"Arts, Entertainment And Recreation",10.0,0.0
Social Sciences,Economics,All,All,Not applicable,All,18 and under,All,Unknown,10.0,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",All,All,All,All,All,Black / African / Caribbean / Black British,"Arts, Entertainment And Recreation",c,0.0
"Agriculture, Horticulture and Animal Care",All,Apprenticeship,All,Framework apprenticeship,All,19 - 24,All,"Professional, Scientific And Technical Activities",10.0,0.0
All,All,Apprenticeship,Advanced Apprenticeship,Framework apprenticeship,All,All,All,Real Estate Activities,10.0,0.0
"Leisure, Travel and Tourism",Travel and Tourism,All,All,Not applicable,All,All,All,Unknown,50.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,All,All,All,All,Asian / Asian British,Construction,10.0,0.0
Digital Technology,Digital technology (users),Education & Training,Other,All,All,All,All,Other Service Activities,c,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,All,All,All,19 - 24,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Leisure, Travel and Tourism",Travel and Tourism,Education & Training,All,Not applicable,All,All,Black / African / Caribbean / Black British,Human Health And Social Work Activities,10.0,0.0
All,All,Education & Training,Level 4,All,All,All,All,"Agriculture, Forestry And Fishing",10.0,0.0
Engineering and Manufacturing Technologies,All,All,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Other Service Activities,10.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,Education & Training,All,All,All,All,Asian / Asian British,"Agriculture, Forestry And Fishing",10.0,0.0
All,All,Education & Training,Entry Level Digital,Not applicable,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
Science and Mathematics,Science,Education & Training,All,Not applicable,Male,All,All,Accommodation And Food Service Activities,1820.0,0.0
"History, Philosophy and Theology",History,Education & Training,All,Not applicable,Male,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,180.0,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,Not applicable,Female,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,3550.0,0.0
Preparation for Life and Work,Preparation for Work,Education & Training,All,Not applicable,All,25 - 49,All,Other Service Activities,190.0,0.0
Preparation for Life and Work,All,Education & Training,All,All,All,19 - 24,All,Manufacturing,650.0,0.0
Education and Training,All,All,All,All,All,25 - 49,All,Human Health And Social Work Activities,1220.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",Education & Training,All,Not applicable,All,All,White,Accommodation And Food Service Activities,5260.0,1.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Education & Training,All,All,All,All,White,Administrative And Support Service Activities,1240.0,0.0
"Health, Public Services and Care",Health and Social Care,All,All,All,All,All,White,Administrative And Support Service Activities,5530.0,1.0
All,All,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,"Professional, Scientific And Technical Activities",2090.0,0.0
"Business, Administration and Law",Business Management,Education & Training,Full level 3,Not applicable,All,All,All,Accommodation And Food Service Activities,3860.0,0.0
"Construction, Planning and the Built Environment",All,Apprenticeship,All,All,All,All,All,Real Estate Activities,160.0,0.0
Digital Technology,All,Education & Training,All,All,All,All,All,Public Administration And Defence - Compulsory Social Security,880.0,0.0
All,All,Education & Training,All,Not applicable,All,All,All,"Professional, Scientific And Technical Activities",24050.0,3.0
All,All,All,Full level 3,Not applicable,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,350.0,0.0
All,All,All,Full level 3,All,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,350.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",Education & Training,All,All,Male,All,All,All,9100.0,1.0
"Business, Administration and Law",Business Management,All,All,Not applicable,All,18 and under,All,All,13020.0,2.0
"Health, Public Services and Care",Public Services,Apprenticeship,All,All,All,All,White,All,4370.0,1.0
Education and Training,Direct Learning Support,All,All,Not applicable,All,All,All,All,11250.0,1.0
"Arts, Media and Publishing",All,Education & Training,All,Not applicable,All,19 - 24,All,"Professional, Scientific And Technical Activities",130.0,0.0
Engineering and Manufacturing Technologies,All,All,All,Not applicable,All,25 - 49,All,Public Administration And Defence - Compulsory Social Security,220.0,0.0
All,All,All,All,All,All,50 and over,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,420.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Apprenticeship,All,Standard apprenticeship,All,All,White,"Arts, Entertainment And Recreation",540.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,All,Full level 3,Not applicable,All,All,All,All,1010.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,All,All,Male,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,920.0,0.0
"Arts, Media and Publishing",All,All,All,All,All,19 - 24,All,Transportation And Storage,50.0,0.0
"Health, Public Services and Care",Child Development and Well Being,Education & Training,All,Not applicable,All,All,White,Administrative And Support Service Activities,380.0,0.0
Not Applicable / Not Known,All,Traineeship,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Financial And Insurance Activities,c,0.0
"Construction, Planning and the Built Environment",All,All,All,Standard apprenticeship,All,All,White,Manufacturing,620.0,0.0
Retail and Commercial Enterprise,All,All,All,Standard apprenticeship,All,All,White,Human Health And Social Work Activities,400.0,0.0
"Languages, Literature and Culture",All,All,Level 1 English & Maths,All,All,All,All,Transportation And Storage,210.0,0.0
Digital Technology,Digital technology (practitioners),Education & Training,All,Not applicable,All,All,Unknown,Human Health And Social Work Activities,40.0,0.0
Engineering and Manufacturing Technologies,Engineering,Apprenticeship,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",80.0,0.0
Education and Training,Teaching and Lecturing,Apprenticeship,Higher (Level 5) Apprenticeship,All,All,All,All,All,320.0,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,Not applicable,All,All,Asian / Asian British,Administrative And Support Service Activities,30.0,0.0
Digital Technology,Digital technology (users),All,All,Not applicable,All,All,White,"Professional, Scientific And Technical Activities",160.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,Full level 3,Not applicable,All,All,All,Unknown,160.0,0.0
"Business, Administration and Law",Administration,Apprenticeship,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Transportation And Storage,270.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,All,All,All,19 - 24,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,190.0,0.0
"Business, Administration and Law",Business Management,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,"Professional, Scientific And Technical Activities",60.0,0.0
"Arts, Media and Publishing",All,All,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Information And Communication,70.0,0.0
Engineering and Manufacturing Technologies,All,All,Intermediate Apprenticeship,All,All,All,All,"Professional, Scientific And Technical Activities",440.0,0.0
Science and Mathematics,Science,Education & Training,All,Not applicable,Female,All,All,Other Service Activities,120.0,0.0
Education and Training,Teaching and Lecturing,Education & Training,Level 2 Other,All,All,All,All,Education,60.0,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,All,Not applicable,All,50 and over,All,All,200.0,0.0
Science and Mathematics,Mathematics and Statistics,Education & Training,All,Not applicable,Male,All,All,"Professional, Scientific And Technical Activities",400.0,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,Level 3 Other,Not applicable,All,All,All,Information And Communication,50.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Education & Training,Full level 3,All,All,All,All,Transportation And Storage,100.0,0.0
Preparation for Life and Work,Preparation for Work,Education & Training,Other,All,All,All,All,Public Administration And Defence - Compulsory Social Security,90.0,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,Not applicable,All,50 and over,All,Unknown,240.0,0.0
"Arts, Media and Publishing",All,All,All,Standard apprenticeship,Male,All,All,Human Health And Social Work Activities,10.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Apprenticeship,All,All,All,19 - 24,All,Public Administration And Defence - Compulsory Social Security,60.0,0.0
"Health, Public Services and Care",Health and Social Care,Education & Training,All,Not applicable,All,All,Other ethnic group,Public Administration And Defence - Compulsory Social Security,50.0,0.0
Engineering and Manufacturing Technologies,Engineering,Education & Training,All,Not applicable,All,All,White,"Electricity, Gas, Steam And Air Conditioning Supply",160.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,"Arts, Entertainment And Recreation",210.0,0.0
"Health, Public Services and Care",All,Education & Training,Full level 3,Not applicable,All,All,All,Information And Communication,100.0,0.0
"Business, Administration and Law",All,Education & Training,Level 4,All,All,All,All,Education,40.0,0.0
Not Applicable / Not Known,All,Traineeship,All,Not applicable,All,All,Other ethnic group,All,90.0,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Traineeship,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Accommodation And Food Service Activities,40.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Education & Training,All,Not applicable,All,All,Unknown,Education,c,0.0
"Business, Administration and Law",Administration,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Real Estate Activities,40.0,0.0
Education and Training,Teaching and Lecturing,Education & Training,All,All,Male,All,All,Human Health And Social Work Activities,20.0,0.0
"Business, Administration and Law",Law and Legal Services,Education & Training,All,Not applicable,All,All,White,Administrative And Support Service Activities,110.0,0.0
"Health, Public Services and Care",Public Services,Education & Training,All,Not applicable,All,25 - 49,All,Education,120.0,0.0
"Construction, Planning and the Built Environment",All,Education & Training,Full level 2,All,All,All,All,Real Estate Activities,110.0,0.0
Social Sciences,Geography,All,Full level 3,All,All,All,All,Construction,20.0,0.0
Digital Technology,Digital technology (practitioners),All,All,Standard apprenticeship,All,All,Asian / Asian British,Other Service Activities,10.0,0.0
Engineering and Manufacturing Technologies,Engineering,All,All,Framework apprenticeship,All,25 - 49,All,Human Health And Social Work Activities,c,0.0
Social Sciences,All,All,All,Standard apprenticeship,All,All,Black / African / Caribbean / Black British,Public Administration And Defence - Compulsory Social Security,c,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Education,20.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,Level 3 Other,All,All,All,All,Administrative And Support Service Activities,20.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,All,Level 1 / Other Entry Level,Not applicable,All,All,All,"Arts, Entertainment And Recreation",70.0,0.0
Science and Mathematics,Mathematics and Statistics,All,All,Not applicable,All,All,Asian / Asian British,Manufacturing,50.0,0.0
"Health, Public Services and Care",Health and Social Care,Apprenticeship,All,All,All,All,Asian / Asian British,Information And Communication,c,0.0
Digital Technology,Digital technology (practitioners),All,Higher (Level 6) Apprenticeship,All,All,All,All,Human Health And Social Work Activities,20.0,0.0
Preparation for Life and Work,Preparation for Work,Education & Training,Level 3 Other,Not applicable,All,All,All,Transportation And Storage,20.0,0.0
"Business, Administration and Law",Accounting and Finance,Education & Training,Other,Not applicable,All,All,All,Unknown,10.0,0.0
"Business, Administration and Law",Business Management,All,All,All,All,All,Asian / Asian British,Other Service Activities,30.0,0.0
Digital Technology,Digital technology (users),All,Level 2 Other,All,All,All,All,Real Estate Activities,20.0,0.0
"Arts, Media and Publishing",All,All,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Financial And Insurance Activities,10.0,0.0
"History, Philosophy and Theology",Theology and Religious Studies,All,All,Not applicable,Male,All,All,Education,20.0,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Traineeship,All,Not applicable,All,All,Asian / Asian British,Public Administration And Defence - Compulsory Social Security,10.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,All,Full level 2,Not applicable,All,All,All,Real Estate Activities,10.0,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Other Service Activities,10.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,Level 1 / Other Entry Level,Not applicable,All,All,All,Manufacturing,20.0,0.0
"Arts, Media and Publishing",Media and Communication,All,All,All,All,All,White,"Water Supply - Sewerage, Waste Management And Remediation Activities",20.0,0.0
"Health, Public Services and Care",Public Services,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Real Estate Activities,c,0.0
"Health, Public Services and Care",Health and Social Care,Apprenticeship,All,Framework apprenticeship,All,25 - 49,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,20.0,0.0
"Arts, Media and Publishing",All,All,All,All,All,All,Other ethnic group,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Arts, Media and Publishing",Media and Communication,All,All,All,All,All,Other ethnic group,Unknown,10.0,0.0
Science and Mathematics,All,Education & Training,All,All,All,All,Asian / Asian British,Real Estate Activities,40.0,0.0
Digital Technology,Digital technology (practitioners),Apprenticeship,All,Standard apprenticeship,All,All,Unknown,Construction,c,0.0
Not Applicable / Not Known,All,Traineeship,All,All,All,All,Asian / Asian British,Unknown,20.0,0.0
"Agriculture, Horticulture and Animal Care",All,Apprenticeship,All,Standard apprenticeship,All,All,Black / African / Caribbean / Black British,Real Estate Activities,c,0.0
"Agriculture, Horticulture and Animal Care",Environmental Conservation,Education & Training,Full level 3,Not applicable,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
Education and Training,All,Education & Training,Level 2 Other,Not applicable,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Health, Public Services and Care",Child Development and Well Being,Education & Training,All,All,All,All,Other ethnic group,Unknown,20.0,0.0
Digital Technology,All,Education & Training,All,Not applicable,All,19 - 24,All,Real Estate Activities,20.0,0.0
"Health, Public Services and Care",Public Services,All,All,Standard apprenticeship,Female,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Health, Public Services and Care","Health, Public Services and Care",Education & Training,All,Not applicable,All,19 - 24,All,All,10.0,0.0
"Construction, Planning and the Built Environment",Not Applicable / Not Known,All,All,Not applicable,All,18 and under,All,Transportation And Storage,10.0,0.0
Science and Mathematics,All,Apprenticeship,All,All,Female,All,All,"Professional, Scientific And Technical Activities",20.0,0.0
"Business, Administration and Law",Administration,All,All,Standard apprenticeship,Female,All,All,Education,1080.0,0.0
Digital Technology,All,Education & Training,All,Not applicable,Male,All,All,Manufacturing,640.0,0.0
All,All,All,All,Standard apprenticeship,Male,All,All,"Professional, Scientific And Technical Activities",4910.0,1.0
"Health, Public Services and Care",Child Development and Well Being,Education & Training,All,Not applicable,All,25 - 49,All,Other Service Activities,80.0,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,All,All,All,18 and under,All,Administrative And Support Service Activities,360.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",All,All,Not applicable,All,18 and under,All,Education,820.0,0.0
"Health, Public Services and Care",All,All,All,Not applicable,All,18 and under,All,Accommodation And Food Service Activities,9790.0,1.0
"Health, Public Services and Care",Health and Social Care,Apprenticeship,All,Standard apprenticeship,All,All,White,"Professional, Scientific And Technical Activities",110.0,0.0
"Business, Administration and Law",Business Management,Education & Training,All,All,All,All,White,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,4400.0,1.0
"Leisure, Travel and Tourism",All,Education & Training,All,Not applicable,All,All,White,Human Health And Social Work Activities,910.0,0.0
"Agriculture, Horticulture and Animal Care",All,All,All,Not applicable,All,All,White,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,2720.0,0.0
Education and Training,All,All,All,All,All,All,Black / African / Caribbean / Black British,"Professional, Scientific And Technical Activities",50.0,0.0
All,All,Education & Training,All,Not applicable,All,All,Asian / Asian British,Information And Communication,1000.0,0.0
"Business, Administration and Law",Accounting and Finance,Education & Training,Level 2 Other,Not applicable,All,All,All,Financial And Insurance Activities,70.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,Education & Training,Full level 2,All,All,All,All,Human Health And Social Work Activities,240.0,0.0
"Business, Administration and Law",Business Management,Apprenticeship,All,All,All,All,All,"Arts, Entertainment And Recreation",210.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,All,Intermediate Apprenticeship,All,All,All,All,"Arts, Entertainment And Recreation",120.0,0.0
Engineering and Manufacturing Technologies,Engineering,All,All,All,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",280.0,0.0
"Languages, Literature and Culture",All,Education & Training,Level 1 English & Maths,All,All,All,All,Administrative And Support Service Activities,760.0,0.0
"Business, Administration and Law",All,All,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Manufacturing,1310.0,0.0
Digital Technology,All,All,Level 2 Other,Not applicable,All,All,All,Administrative And Support Service Activities,870.0,0.0
"Leisure, Travel and Tourism",All,All,All,Not applicable,All,All,All,Accommodation And Food Service Activities,8280.0,1.0
"Business, Administration and Law",Marketing and Sales,Apprenticeship,All,All,All,All,White,All,560.0,0.0
Engineering and Manufacturing Technologies,All,Education & Training,All,Not applicable,All,All,White,All,25720.0,3.0
"Languages, Literature and Culture",All,Education & Training,All,Not applicable,All,All,Unknown,All,380.0,0.0
"Arts, Media and Publishing",All,All,All,All,All,All,White,All,39950.0,5.0
"Health, Public Services and Care",Child Development and Well Being,All,Level 2 Other,Not applicable,All,All,All,All,6160.0,1.0
Not Applicable / Not Known,All,All,All,All,All,18 and under,All,Human Health And Social Work Activities,330.0,0.0
Science and Mathematics,All,All,All,Not applicable,All,All,White,Manufacturing,930.0,0.0
"Business, Administration and Law",Business Management,Education & Training,All,Not applicable,All,All,All,Real Estate Activities,330.0,0.0
"Business, Administration and Law",Business Management,All,Higher (Level 7+) Apprenticeship,Standard apprenticeship,All,All,All,Administrative And Support Service Activities,110.0,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,All,120.0,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,All,All,19 - 24,All,Real Estate Activities,200.0,0.0
Science and Mathematics,Science,All,All,All,All,18 and under,All,Human Health And Social Work Activities,1000.0,0.0
